label,Index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,longest_vertical_line
d,8,31,8,0,4,4,0.375,1,4,5,16,18,18,5,1,1,16
e,1,36,0,0,9,7,0.8,0,8,7,5,6,6,8,1,1,7
e,2,30,1,0,6,7,0.8,0,10,11,7,9,10,14,1,1,6
e,3,36,1,1,9,8,0.8181818181818182,1,11,10,8,6,8,15,1,1,8
e,4,38,0,1,10,8,0.9,0,11,10,7,5,6,12,1,1,7
e,5,28,2,0,4,7,0.7777777777777778,1,10,12,6,6,7,13,1,1,5
e,6,29,1,0,5,7,0.7777777777777778,1,10,11,7,7,7,12,1,1,6
e,7,28,2,0,4,7,0.7777777777777778,1,11,11,7,5,7,12,1,1,6
e,8,40,2,0,9,9,0.8181818181818182,1,13,13,8,6,7,15,1,1,6
f,1,25,10,3,2,3,0.5714285714285714,3,7,7,10,10,10,7,1,0,12
f,2,23,12,4,1,2,0.5333333333333333,3,6,6,10,10,12,9,1,0,12
f,3,25,12,3,3,1,0.5333333333333333,3,7,6,12,11,12,9,1,0,14
f,4,29,12,4,4,3,0.5294117647058824,3,5,4,14,13,15,6,1,0,15
f,5,25,11,4,3,2,0.5333333333333333,4,6,4,12,12,14,7,1,0,14
f,6,26,12,4,3,3,0.5,3,5,4,12,12,13,6,1,0,14
f,7,26,12,3,3,3,0.4375,4,6,4,14,14,15,6,1,0,15
f,8,26,12,3,3,3,0.4375,4,6,4,14,14,15,6,1,0,15
g,1,48,1,0,10,7,0.4375,0,7,8,14,17,14,9,1,1,8
g,2,38,2,0,10,6,0.42857142857142855,0,5,5,11,14,12,5,1,1,11
g,3,44,2,0,9,8,0.47058823529411764,1,7,7,17,19,20,11,1,1,9
g,4,35,1,0,7,6,0.5,1,6,7,9,12,10,6,1,1,10
g,5,35,1,0,6,6,0.5,1,6,8,11,13,12,8,1,1,10
g,6,46,2,0,8,9,0.6,1,10,13,14,14,14,12,1,1,9
g,7,33,1,0,8,6,0.5,0,6,5,10,12,11,7,1,1,8
g,8,35,1,0,8,6,0.5833333333333334,1,7,7,10,13,12,8,1,1,11
h,1,24,10,3,2,3,0.4,3,4,3,17,16,17,3,1,0,15
h,2,25,9,1,2,2,0.3333333333333333,3,3,3,18,16,17,1,1,0,15
h,3,26,10,1,2,2,0.375,3,3,2,18,16,18,1,1,0,16
h,4,28,10,4,3,3,0.5,3,5,4,18,17,18,4,1,0,16
h,5,31,8,3,4,3,0.5,3,5,3,21,18,20,3,1,0,16
h,6,30,8,2,3,3,0.4375,3,4,3,20,18,19,2,1,0,16
h,7,30,8,3,3,3,0.4375,3,5,3,21,19,20,3,1,0,16
h,8,28,9,2,3,3,0.375,3,4,2,20,18,19,2,1,0,16
i,1,9,9,0,0,1,0.1,2,2,2,9,9,9,1,2,0,8
i,2,26,0,0,0,2,0.14285714285714285,0,4,4,13,13,0,0,2,0,11
i,3,15,15,0,0,1,0.0625,2,2,2,15,15,15,1,2,0,14
i,4,10,10,0,0,1,0.09090909090909091,2,2,2,10,10,10,1,2,0,9
i,5,12,12,0,0,1,0.07692307692307693,2,2,2,12,12,12,1,2,0,11
i,6,42,0,0,14,3,0.2,0,6,6,14,14,0,0,2,0,11
i,7,8,8,0,0,1,0.1111111111111111,2,2,2,8,8,8,1,2,0,7
i,8,11,11,0,0,1,0.08333333333333333,4,2,2,11,11,11,0,2,0,9
j,1,16,8,2,2,1,0.4166666666666667,1,3,4,11,10,11,3,2,0,9
j,2,17,6,4,2,2,0.5454545454545454,2,4,6,11,11,11,5,2,0,8
j,3,19,7,2,3,1,0.5,1,3,5,11,11,11,3,2,0,10
j,4,20,7,3,3,2,0.6666666666666666,2,4,5,9,9,10,4,2,0,7
j,5,17,7,3,2,1,0.5833333333333334,2,3,4,9,10,12,4,2,0,7
j,6,23,8,2,3,2,0.5,1,3,5,13,13,13,3,2,0,11
